CD4_cl1,blue2
CD4_cl2,darkorange2
CD4_cl3,darkolivegreen2
CD4_cl4,darkorchid2
CD4_cl5,deepskyblue2
CD4_cl7,pink2
CD4_cl9,chartreuse2
CD4_cl10,darkgoldenrod2
CD4_cl12,cadetblue2
CD4_cl13,brown2
CD4_cl14,darkseagreen2
CD4_cl15,violetred2
CD4_cl16,cyan2
CD4_cl17,burlywood2
CD4_cl18,red2
CD4_cl20,blue
CD4_cl21,darkorange
CD4_cl22,darkolivegreen
CD4_cl23,darkorchid
CD4_cl25,deepskyblue
CD4_cl28,pink
CD4_miniverse,grey
CD4_prolif,black
