DP_cl17,blue2
DP_cl51,darkorange2
DP_cl55,darkolivegreen2
DP_cl59,darkorchid2
DP_cl60,deepskyblue2
DP_cl61,pink2
DP_cl62,chartreuse2
DP_cl63,darkgoldenrod2
DP_cl64,cadetblue2
DP_cl65,brown2
DP_miniverse,grey
DP_prolif,black
