1,blue2
2,darkorange2
3,darkolivegreen2
4,darkorchid2
5,deepskyblue2
6,pink2
7,chartreuse2
8,darkgoldenrod2
9,cadetblue2
10,brown2
11,darkseagreen2
12,violetred2
13,cyan2
14,burlywood2
15,red2
16,blue
17,darkorange
18,darkolivegreen
19,darkorchid
20,deepskyblue
21,pink
22,grey
23,black
24,blue2
25,darkorange2
26,darkolivegreen2
27,darkorchid2
28,deepskyblue2
29,pink2
30,chartreuse2
31,darkgoldenrod2
32,cadetblue2
33,brown2
34,darkseagreen2
35,violetred2
36,cyan2
37,burlywood2
38,red2
39,blue
40,darkorange
41,darkolivegreen
42,darkorchid
43,grey
44,black
45,chartreuse
46,darkgoldenrod
47,cadetblue
48,brown
49,darkseagreen
50,violetred
51,cyan
52,blue2
53,darkorange2
54,darkolivegreen2
55,darkorchid2
56,deepskyblue2
57,pink2
58,grey
59,black
60,blue2
61,darkorange2
62,darkolivegreen2
63,darkorchid2
64,deepskyblue2
65,pink2
66,chartreuse2
67,darkgoldenrod2
68,cadetblue2
69,brown2
70,darkseagreen2
71,violetred2
72,cyan2
73,burlywood2
74,red2
75,blue
76,darkorange
77,darkolivegreen
78,darkorchid
79,grey
80,black
81,blue2
82,darkorange2
83,darkolivegreen2
84,darkorchid2
85,grey
86,black
87,blue2
88,darkorange2
89,darkolivegreen2
90,darkorchid2
91,deepskyblue2
92,grey
93,black
94,blue2
95,darkorange2
96,darkolivegreen2
97,darkorchid2
98,deepskyblue2
99,pink2
100,chartreuse2
101,darkgoldenrod2
102,cadetblue2
103,brown2
104,grey
105,black
106,blue2
107,darkorange2
108,darkolivegreen2
109,darkorchid2
110,deepskyblue2
111,pink2
112,chartreuse2
113,darkgoldenrod2
114,cadetblue2
115,brown2
116,grey
117,black
118,cornsilk3
119,cornsilk1
120,cornsilk2
121,blue2
122,darkorange2
123,darkolivegreen2
124,darkorchid2
125,grey
126,pink2
127,black
