1,blue2
2,darkorange2
3,darkolivegreen2
4,darkorchid2
5,deepskyblue2
6,pink2
7,chartreuse2
8,darkgoldenrod2
9,cadetblue2
10,brown2
11,darkseagreen2
12,violetred2
13,cyan2
14,burlywood2
15,red2
16,blue
17,darkorange
18,darkolivegreen
19,darkorchid
20,deepskyblue
21,pink
22,grey
23,black
24,blue2
25,darkorange2
26,darkolivegreen2
27,darkorchid2
28,deepskyblue2
29,pink2
30,chartreuse2
31,darkgoldenrod2
32,cadetblue2
33,brown2
34,darkseagreen2
35,violetred2
36,cyan2
37,burlywood2
38,red2
39,blue
40,darkorange
41,darkolivegreen
42,darkorchid
43,grey
44,black
45,chartreuse
46,darkgoldenrod
47,cadetblue
48,brown
49,darkseagreen
50,violetred
51,cyan
52,blue2
53,darkorange2
54,darkolivegreen2
55,darkorchid2
56,deepskyblue2
57,pink2
58,chartreuse2
59,grey
60,black
61,blue2
62,darkorange2
63,darkolivegreen2
64,darkorchid2
65,deepskyblue2
66,pink2
67,chartreuse2
68,darkgoldenrod2
69,cadetblue2
70,brown2
71,darkseagreen2
72,violetred2
73,cyan2
74,burlywood2
75,red2
76,blue
77,darkorange
78,darkolivegreen
79,darkorchid
80,grey
81,black
82,blue2
83,darkorange2
84,darkolivegreen2
85,darkorchid2
86,deepskyblue2
87,pink2
88,grey
89,black
90,blue2
91,darkorange2
92,darkolivegreen2
93,darkorchid2
94,deepskyblue2
95,grey
96,black
97,blue2
98,darkorange2
99,darkolivegreen2
100,darkorchid2
101,deepskyblue2
102,pink2
103,chartreuse2
104,darkgoldenrod2
105,cadetblue2
106,brown2
107,grey
108,black
109,blue2
110,darkorange2
111,darkolivegreen2
112,darkorchid2
113,deepskyblue2
114,pink2
115,chartreuse2
116,darkgoldenrod2
117,cadetblue2
118,grey
119,black
120,cornsilk3
121,cornsilk1
122,cornsilk2
123,blue2
124,darkorange2
125,darkolivegreen2
126,grey
127,deepskyblue2
128,black
