CD4.A,blue2
CD4.B,darkorange2
CD4.C,darkolivegreen2
CD4.D,darkorchid2
CD4.E,deepskyblue2
CD4.F,pink2
CD4.G,chartreuse2
CD4.H,darkseagreen2
CD4.I,brown2
CD4.T,violetred2
CD4.U,cyan2
CD4.X,burlywood2
CD4.Y,red2
CD4.Q,darkorange
CD4.R,darkolivegreen
CD4.S,darkorchid
CD4.wN,deepskyblue
CD4.wZ,pink
CD4.wM,grey
CD4.P,black
CD8.A,blue2
CD8.B,darkorange2
CD8.E,darkolivegreen2
CD8.F,darkorchid2
CD8.wY,deepskyblue2
CD8.R,pink2
CD8.Q,chartreuse2
CD8.S,darkgoldenrod2
CD8.H,cadetblue2
CD8.G,brown2
CD8.I,darkseagreen2
CD8.J,violetred2
CD8.wU,cyan2
CD8.wX,burlywood2
CD8.C,red2
CD8.wV,blue
CD8.T,darkorange
CD8.D,darkolivegreen
CD8.K,darkorchid
CD8.wM,grey
CD8.P,black
CD8aa.A,chartreuse
CD8aa.D,darkgoldenrod
CD8aa.E,cadetblue
CD8aa.C,brown
CD8aa.B,darkseagreen
CD8aa.wM,grey
CD8aa.P,black
Treg.A,blue2
Treg.D,darkorange2
Treg.B,darkolivegreen2
Treg.F,darkorchid2
Treg.C,deepskyblue2
Treg.E,chartreuse2
Treg.wM,grey
Treg.P,black
gdT.B,blue2
gdT.A,darkorange2
gdT.V,darkolivegreen2
gdT.Z,darkorchid2
gdT.R,deepskyblue2
gdT.S,pink2
gdT.C,chartreuse2
gdT.F,darkgoldenrod2
gdT.G,cadetblue2
gdT.Q,brown2
gdT.E,darkseagreen2
gdT.J,violetred2
gdT.D,cyan2
gdT.I,burlywood2
gdT.U,red2
gdT.T,blue
gdT.X,darkorange
gdT.K,darkolivegreen
gdT.H,darkorchid
gdT.wM,grey
gdT.P,black
Tz.D,blue2
Tz.C,darkorange2
Tz.A,darkorchid2
Tz.B,deepskyblue2
Tz.wM,grey
Tz.P,black
DN.D,blue2
DN.A,darkorange2
DN.H,darkolivegreen2
DN.B,darkorchid2
DN.G,deepskyblue2
DN.F,pink2
DN.C,chartreuse2
DN.E,darkgoldenrod2
DN.J,cadetblue2
DN.I,brown2
DN.wM,grey
DN.P,black
DP.wX,blue2
DP.wA,darkorange2
DP.wY,darkolivegreen2
DP.wC,darkorchid2
DP.wB,deepskyblue2
DP.wD,pink2
DP.wE,chartreuse2
DP.wH,darkgoldenrod2
DP.wG,cadetblue2
DP.wF,brown2
DP.wM,grey
DP.wP,black
thymocyte,cornsilk3
nonT,cornsilk1
unclear.cl14,blue2
unclear.cl25,darkorange2
unclear.cl37,darkolivegreen2
unclear.cl47,darkorchid2
unclear.miniverse,grey
unclear.thymocyte,pink2
